file,type,loc,comments,comment_density
__init__.py,production,3,2,0.667
__main__.py,production,305,17,0.056
commands\__init__.py,production,0,0,0
commands\build.py,production,290,37,0.128
commands\gh_deploy.py,production,141,5,0.035
commands\new.py,production,38,13,0.342
commands\serve.py,production,88,10,0.114
config\__init__.py,production,2,0,0.0
config\base.py,production,307,52,0.169
config\config_options.py,production,978,129,0.132
config\defaults.py,production,164,48,0.293
contrib\__init__.py,production,0,0,0
contrib\search\__init__.py,production,101,5,0.05
contrib\search\search_index.py,production,186,44,0.237
exceptions.py,production,28,17,0.607
livereload\__init__.py,production,317,54,0.17
localization.py,production,71,1,0.014
plugins.py,production,541,291,0.538
structure\__init__.py,production,26,0,0.0
structure\files.py,production,506,85,0.168
structure\nav.py,production,200,12,0.06
structure\pages.py,production,466,53,0.114
structure\toc.py,production,57,7,0.123
tests\__init__.py,test,10,0,0.0
tests\base.py,test,99,25,0.253
tests\build_tests.py,test,852,94,0.11
tests\cli_tests.py,test,567,1,0.002
tests\config\__init__.py,test,0,0,0
tests\config\base_tests.py,test,219,13,0.059
tests\config\config_options_legacy_tests.py,test,1301,16,0.012
tests\config\config_options_tests.py,test,1922,14,0.007
tests\config\config_tests.py,test,252,16,0.063
tests\gh_deploy_tests.py,test,156,0,0.0
tests\integration.py,test,56,10,0.179
tests\livereload_tests.py,test,492,1,0.002
tests\localization_tests.py,test,56,1,0.018
tests\new_tests.py,test,18,1,0.056
tests\plugin_tests.py,test,271,1,0.004
tests\search_tests.py,test,541,43,0.079
tests\structure\__init__.py,test,0,0,0
tests\structure\file_tests.py,test,685,1,0.001
tests\structure\nav_tests.py,test,526,95,0.181
tests\structure\page_tests.py,test,1285,21,0.016
tests\structure\toc_tests.py,test,183,100,0.546
tests\theme_tests.py,test,114,5,0.044
tests\utils\__init__.py,test,0,0,0
tests\utils\babel_stub_tests.py,test,43,0,0.0
tests\utils\templates_tests.py,test,44,17,0.386
tests\utils\utils_tests.py,test,530,78,0.147
theme.py,production,129,14,0.109
themes\__init__.py,production,0,0,0
themes\mkdocs\__init__.py,production,0,0,0
themes\readthedocs\__init__.py,production,0,0,0
utils\__init__.py,production,310,52,0.168
utils\babel_stub.py,production,22,0,0.0
utils\cache.py,production,28,9,0.321
utils\filters.py,production,1,0,0.0
utils\meta.py,production,80,36,0.45
utils\rendering.py,production,77,7,0.091
utils\templates.py,production,43,0,0.0
utils\yaml.py,production,114,20,0.175
